"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"AE1","1","Antenna_Dipole","","","","RF_Antenna:Texas_SWRA117D_2.4GHz_Right","~"
"C1","1","10uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C2,C3","2","0.1uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"J1","1","Conn_01x02_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~"
"J2","1","Conn_01x04_Socket","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
"J3,J4,J5","3","Conn_01x01_Socket","","","","TestPoint:TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded","~"
"R1,R2,R3,R4,R6,R7,R8,R9,R12","9","0","","","","Resistor_SMD:R_1206_3216Metric","~"
"R5","1","10k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R10,R11","2","2k2","","","","Resistor_SMD:R_1206_3216Metric","~"
"U1","1","~","","","","IN100:QFN19P40_300X300X80L35X20T170X150N",""
"U2","1","BMA400","","","","BMA400:XDCR_BMA400",""
"Y1","1","Crystal_GND24","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","~"
